iter	Passed	Remaining
0	129	128883
1	139	69461
2	144	47971
3	150	37596
4	155	30974
5	159	26432
6	165	23430
7	168	20948
8	172	19017
9	176	17522
10	180	16232
11	184	15164
12	187	14227
13	194	13665
14	197	12976
15	201	12376
16	207	11995
17	210	11511
18	214	11066
19	223	10957
20	228	10629
21	234	10434
22	239	10181
23	245	9992
24	252	9858
25	256	9624
26	260	9375
27	264	9175
28	267	8968
29	271	8781
30	276	8638
31	281	8505
32	284	8342
33	288	8210
34	296	8184
35	301	8060
36	306	7990
37	311	7893
38	319	7883
39	325	7800
40	330	7718
41	335	7656
42	343	7649
43	350	7611
44	356	7571
45	361	7494
46	367	7456
47	371	7366
48	374	7273
49	380	7222
50	384	7153
51	387	7072
52	391	7001
53	395	6925
54	399	6858
55	403	6809
56	408	6752
57	412	6701
58	416	6642
59	420	6585
60	423	6526
61	427	6461
62	431	6412
63	436	6381
64	440	6333
65	443	6279
66	446	6222
67	451	6195
68	457	6166
69	461	6127
70	465	6090
71	469	6048
72	472	6003
73	475	5955
74	479	5917
75	484	5889
76	487	5846
77	491	5804
78	495	5776
79	498	5736
80	502	5697
81	505	5657
82	507	5604
83	511	5580
84	516	5556
85	519	5525
86	525	5509
87	529	5486
88	532	5448
89	536	5429
90	541	5413
91	547	5400
92	550	5368
93	555	5350
94	559	5326
95	563	5305
96	566	5276
97	570	5249
98	574	5225
99	577	5197
100	581	5178
101	584	5149
102	588	5125
103	592	5102
104	595	5079
105	599	5056
106	603	5040
107	607	5014
108	610	4989
109	614	4975
110	618	4953
111	622	4932
112	627	4927
113	631	4906
114	634	4883
115	638	4862
116	641	4839
117	644	4820
118	648	4800
119	651	4777
120	655	4765
121	658	4740
122	662	4722
123	665	4701
124	668	4681
125	673	4669
126	676	4647
127	679	4629
128	682	4609
129	686	4594
130	689	4575
131	693	4562
132	699	4557
133	704	4553
134	708	4540
135	711	4522
136	715	4507
137	718	4489
138	723	4479
139	726	4464
140	732	4463
141	735	4443
142	738	4428
143	742	4414
144	746	4402
145	750	4391
146	754	4377
147	757	4362
148	762	4352
149	766	4342
150	769	4327
151	774	4319
152	777	4304
153	780	4287
154	783	4273
155	787	4262
156	791	4250
157	794	4236
158	797	4220
159	802	4210
160	804	4191
161	807	4176
162	810	4161
163	813	4146
164	817	4138
165	821	4125
166	824	4114
167	828	4105
168	833	4100
169	837	4089
170	840	4076
171	844	4067
172	848	4057
173	852	4047
174	855	4034
175	858	4020
176	863	4012
177	867	4004
178	870	3990
179	872	3976
180	876	3966
181	880	3956
182	883	3943
183	886	3929
184	889	3919
185	893	3909
186	896	3898
187	899	3887
188	903	3878
189	908	3871
190	912	3863
191	916	3855
192	921	3851
193	924	3841
194	927	3830
195	930	3818
196	934	3810
197	938	3799
198	942	3792
199	945	3781
200	949	3772
201	952	3762
202	956	3754
203	959	3745
204	963	3736
205	966	3726
206	969	3714
207	974	3711
208	979	3707
209	983	3699
210	987	3690
211	992	3687
212	995	3676
213	998	3669
214	1002	3661
215	1006	3654
216	1011	3650
217	1015	3641
218	1018	3632
219	1023	3629
220	1027	3621
221	1030	3612
222	1033	3602
223	1038	3598
224	1042	3591
225	1045	3581
226	1048	3572
227	1053	3565
228	1056	3557
229	1059	3548
230	1064	3544
231	1069	3541
232	1074	3536
233	1077	3526
234	1081	3522
235	1087	3519
236	1090	3510
237	1093	3502
238	1098	3496
239	1101	3488
240	1105	3483
241	1109	3475
242	1113	3467
243	1116	3460
244	1119	3450
245	1122	3441
246	1126	3433
247	1129	3425
248	1132	3416
249	1135	3407
250	1141	3406
251	1146	3401
252	1149	3393
253	1152	3384
254	1159	3387
255	1163	3380
256	1166	3373
257	1171	3370
258	1175	3364
259	1181	3361
260	1184	3355
261	1189	3349
262	1193	3344
263	1196	3335
264	1200	3329
265	1205	3325
266	1208	3318
267	1211	3310
268	1215	3304
269	1220	3298
270	1224	3294
271	1228	3287
272	1232	3281
273	1235	3274
274	1239	3267
275	1243	3261
276	1247	3257
277	1252	3253
278	1255	3245
279	1260	3241
280	1264	3235
281	1268	3230
282	1276	3233
283	1279	3227
284	1283	3220
285	1297	3239
286	1305	3243
287	1312	3244
288	1320	3248
289	1326	3247
290	1330	3241
291	1335	3238
292	1340	3233
293	1343	3226
294	1346	3219
295	1350	3212
296	1354	3206
297	1358	3199
298	1361	3192
299	1365	3186
300	1369	3180
301	1373	3173
302	1376	3166
303	1380	3161
304	1384	3155
305	1388	3148
306	1392	3143
307	1401	3148
308	1405	3141
309	1408	3135
310	1413	3131
311	1417	3124
312	1420	3117
313	1425	3113
314	1428	3106
315	1431	3099
316	1435	3092
317	1440	3088
318	1444	3083
319	1448	3077
320	1452	3071
321	1456	3066
322	1460	3061
323	1464	3054
324	1468	3049
325	1471	3042
326	1474	3035
327	1478	3028
328	1481	3021
329	1486	3017
330	1491	3013
331	1494	3007
332	1498	3002
333	1502	2995
334	1506	2991
335	1511	2987
336	1515	2982
337	1519	2975
338	1522	2968
339	1527	2964
340	1532	2961
341	1536	2955
342	1539	2948
343	1544	2945
344	1548	2939
345	1551	2933
346	1556	2929
347	1562	2927
348	1565	2920
349	1571	2917
350	1574	2911
351	1578	2905
352	1581	2898
353	1585	2894
354	1589	2888
355	1593	2881
356	1596	2875
357	1600	2870
358	1604	2864
359	1607	2857
360	1610	2850
361	1615	2847
362	1619	2842
363	1623	2837
364	1628	2833
365	1632	2828
366	1637	2823
367	1640	2817
368	1645	2813
369	1649	2809
370	1654	2805
371	1658	2800
372	1662	2794
373	1666	2789
374	1671	2785
375	1675	2780
376	1679	2775
377	1683	2769
378	1686	2763
379	1690	2757
380	1694	2752
381	1697	2746
382	1702	2742
383	1707	2738
384	1710	2732
385	1713	2726
386	1717	2720
387	1721	2714
388	1725	2709
389	1728	2703
390	1732	2699
391	1736	2693
392	1740	2687
393	1742	2680
394	1746	2675
395	1750	2669
396	1753	2663
397	1757	2657
398	1760	2651
399	1764	2646
400	1767	2640
401	1771	2634
402	1774	2628
403	1777	2622
404	1781	2616
405	1784	2610
406	1787	2604
407	1791	2599
408	1795	2594
409	1798	2588
410	1801	2582
411	1805	2577
412	1809	2572
413	1813	2566
414	1816	2560
415	1819	2554
416	1823	2548
417	1827	2543
418	1830	2537
419	1833	2531
420	1837	2526
421	1840	2520
422	1843	2514
423	1846	2508
424	1850	2503
425	1854	2499
426	1857	2493
427	1861	2487
428	1864	2482
429	1868	2477
430	1871	2471
431	1874	2464
432	1877	2458
433	1881	2453
434	1885	2448
435	1888	2443
436	1893	2439
437	1897	2434
438	1900	2428
439	1903	2422
440	1907	2417
441	1914	2416
442	1918	2412
443	1921	2406
444	1925	2401
445	1930	2397
446	1933	2391
447	1936	2385
448	1940	2380
